ANNEE,ID_TMS,Type de mission,COD_MSN,Mission,COD_PGM,Programme,code action,action,code sous-action,sous action
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,01,Coordination de l'action diplomatique,01,Etat major : cabinets
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,01,Coordination de l'action diplomatique,08,Etat major : logistique de niveau chef d'Etat ou de gouvernement
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,01,Coordination de l'action diplomatique,09,Etat-major : affaires politiques
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,01,Coordination de l'action diplomatique,15,"Personnel concourant à l'action ""coordination de l'action diplomatique"""
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,01,Coordination de l'action diplomatique,16,Sécurité des communautés françaises
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,02,Action européenne,01,Moyens de fonctionnement : services d'administration centrale
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,02,Action européenne,07,Dépenses d'intervention et de communication du ministre chargé des affaires européennes
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,02,Action européenne,08,Contributions aux organisations européennes
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,02,Action européenne,11,"Personnel concourant à l'action ""action européenne"""
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,04,Contributions internationales,01,Opérations de maintien de la paix : participations obligatoires aux opérations de maintien de la paix des Nations Unies (en devises)
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,04,Contributions internationales,02,Contributions en euros aux organisations internationales
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,04,Contributions internationales,05,Contributions en devises aux organisations internationales
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,05,Coopération de sécurité et de défense,01,Formation des élites et cadres de sécurité et de défense
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,05,Coopération de sécurité et de défense,02,Ingénierie de sécurité et de défense
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,05,Coopération de sécurité et de défense,03,Fonctions de direction et soutien en France et étranger
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,05,Coopération de sécurité et de défense,04,"Personnel concourant à l'action ""coopération de sécurité et de défense"""
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,06,Soutien,06,Ressources humaines
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,06,Soutien,08,Systèmes d'information et de télécommunication
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,06,Soutien,10,Logistique diplomatique
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,06,Soutien,11,Politique immobilière
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,06,Soutien,12,Sécurité diplomatique
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,06,Soutien,14,"Personnel concourant à l'action ""soutien"""
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,07,Réseau diplomatique,01,Réseau diplomatique : postes à l'étranger - dépenses de structures du ministère des Affaires étrangères
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,07,Réseau diplomatique,02,"Personnel du Ministère des Affaires étrangères et européennes concourant à l'action ""réseau diplomatique"""
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,07,Réseau diplomatique,03,Réseau diplomatique : postes à l'étranger - dépenses de structures hors ministère des Affaires étrangères
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,07,Réseau diplomatique,04,"Personnel hors Ministère des Affaires étrangères et européennes, concourant à l'action ""réseau diplomatique"""
PLF 2019,1,Budget général,AA,Action extérieure de l'État,105,Action de la France en Europe et dans le monde,99,Dépenses de personnel à reventiler entre les actions du programme,,
PLF 2019,1,Budget général,AA,Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,01,Offre d'un service public de qualité aux Français à l'étranger,02,Services publics administratifs offerts aux français
PLF 2019,1,Budget général,AA,Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,01,Offre d'un service public de qualité aux Français à l'étranger,12,Animation et gestion du réseau : animation des postes consulaires
PLF 2019,1,Budget général,AA,Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,01,Offre d'un service public de qualité aux Français à l'étranger,13,"Personnel concourant à l'action ""offre d'un service public de qualité aux français à l'étranger"""
PLF 2019,1,Budget général,AA,Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,02,Accès des élèves français au réseau AEFE,01,Aide à la scolarité
PLF 2019,1,Budget général,AA,Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,02,Accès des élèves français au réseau AEFE,02,Prise en charge des frais de scolarité
PLF 2019,1,Budget général,AA,Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,03,Instruction des demandes de visa,01,Fourniture des services administratifs
PLF 2019,1,Budget général,AA,Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,03,Instruction des demandes de visa,02,"Personnel concourant à l'action ""instruction des demandes de visa"""
PLF 2019,1,Budget général,AA,Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,03,Instruction des demandes de visa,03,"Introduction de la biométrie, aménagement des services et lutte contre la fraude"
PLF 2019,1,Budget général,AA,Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,99,Dépenses de personnel à reventiler entre les actions du programme,,
PLF 2019,1,Budget général,AA,Action extérieure de l'État,185,Diplomatie culturelle et d'influence,01,Appui au réseau,,
PLF 2019,1,Budget général,AA,Action extérieure de l'État,185,Diplomatie culturelle et d'influence,02,Coopération culturelle et promotion du français,01,Langue française et diversité linguistique
PLF 2019,1,Budget général,AA,Action extérieure de l'État,185,Diplomatie culturelle et d'influence,02,Coopération culturelle et promotion du français,05,Coopération et diffusion culturelles
PLF 2019,1,Budget général,AA,Action extérieure de l'État,185,Diplomatie culturelle et d'influence,03,Objectifs de développement durable,,
PLF 2019,1,Budget général,AA,Action extérieure de l'État,185,Diplomatie culturelle et d'influence,04,Enseignement supérieur et recherche,,
PLF 2019,1,Budget général,AA,Action extérieure de l'État,185,Diplomatie culturelle et d'influence,05,Agence pour l'enseignement français à l'étranger,,
PLF 2019,1,Budget général,AA,Action extérieure de l'État,185,Diplomatie culturelle et d'influence,06,"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""",,
PLF 2019,1,Budget général,AA,Action extérieure de l'État,185,Diplomatie culturelle et d'influence,07,Diplomatie économique et développement du tourisme,,
PLF 2019,1,Budget général,AA,Action extérieure de l'État,347,Présidence française du G7,01,Préparation et organisation du Sommet du G7,01,Logistique de la préparation  et de l'organisation du Sommet du G7
PLF 2019,1,Budget général,AA,Action extérieure de l'État,347,Présidence française du G7,01,Préparation et organisation du Sommet du G7,02,Activités diplomatiques préparatoires
PLF 2019,1,Budget général,AA,Action extérieure de l'État,347,Présidence française du G7,03,Fonctionnement du Secrétariat général et communication,,
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,01,État-major et services centraux,01,Cabinets des ministres et bureaux des cabinets des ministres
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,01,État-major et services centraux,02,Cabinet du secrétariat général et des services rattachés
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,01,État-major et services centraux,03,Délégation à l'information et à la communication
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,01,État-major et services centraux,05,Inspection générale de l'administration
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,01,État-major et services centraux,07,Conseil national des activités privées de sécurité (CNAPS)
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,01,État-major et services centraux,08,Autres études et recherches
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,01,État-major et services centraux,09,Direction des systèmes d'information et de communication : personnel
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,01,État-major et services centraux,10,Services zonaux des systèmes d'information et de communication : soutien
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,01,État-major et services centraux,11,Gestion des ressources humaines
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,01,État-major et services centraux,12,Direction générale des collectivités locales
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,01,État-major et services centraux,14,Comité des finances locales
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,01,État-major et services centraux,15,Fonctionnement général des services
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,01,État-major et services centraux,16,Cultes
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,01,État-major et services centraux,17,Direction générale des outre-mer
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,03,Système d'information et de communication,05,Maintien en condition opérationnelle des systèmes d'information et de communication (SIC)
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,03,Système d'information et de communication,08,Système d'information et de communication : grands projets
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,04,Action sociale et formation,01,Action sociale : offre de services collectifs
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,04,Action sociale et formation,02,Formation et recrutement
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,04,Action sociale et formation,07,Action sociale : partenariat social
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,04,Action sociale et formation,08,Action sociale : insertion des personnes handicapées
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,04,Action sociale et formation,09,Action sociale : professionnels de soutien
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,04,Action sociale et formation,10,Action sociale : missions transversales
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,05,Affaires immobilières,01,Immobilier de l'administration centrale : fonctionnement courant
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,05,Affaires immobilières,06,Opérations d'investissement
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,05,Affaires immobilières,10,Action sociale : immobilier
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,05,Affaires immobilières,11,Immobilier administration centrale et déconcentrée
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,06,Affaires juridiques et contentieuses,01,Refus de concours de la force publique : règlements amiables
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,06,Affaires juridiques et contentieuses,02,Refus de concours de la force publique : contentieux
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,06,Affaires juridiques et contentieuses,03,Attroupements : règlements amiables
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,06,Affaires juridiques et contentieuses,04,Attroupements : contentieux
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,06,Affaires juridiques et contentieuses,05,Autres mises en cause de l'Etat : règlements amiables
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,06,Affaires juridiques et contentieuses,06,Autres mises en cause de l'Etat : contentieux
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,06,Affaires juridiques et contentieuses,07,Accidents de la circulation : règlements amiables
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,06,Affaires juridiques et contentieuses,08,Accidents de la circulation : contentieux
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,06,Affaires juridiques et contentieuses,09,Protection juridique
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,06,Affaires juridiques et contentieuses,10,Litiges intervenant dans le cadre du droit des étrangers : règlements amiables
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,06,Affaires juridiques et contentieuses,11,Litiges intervenant dans le cadre du droit des étrangers : règlements contentieux
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,08,"Immigration, asile et intégration",01,Direction générale des étrangers en France
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,09,Sécurité et éducation routières,01,Délégation à la sécurité routière
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,10,Fonds interministériel de prévention de la délinquance,01,Actions en faveur des jeunes
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,10,Fonds interministériel de prévention de la délinquance,02,"Prévention des violences faites aux femmes, des violences intrafamiliales et l'aide aux victimes"
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,10,Fonds interministériel de prévention de la délinquance,03,Actions pour améliorer la tranquillité publique
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,10,Fonds interministériel de prévention de la délinquance,04,Prévention de la radicalisation
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,10,Fonds interministériel de prévention de la délinquance,05,Actions de sécurisation
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,99,Dépenses de personnel du programme à reventiler,,
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",01,Financement des partis,,
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",02,Organisation des élections,01,Elections présidentielles
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",02,Organisation des élections,02,Elections législatives générales
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",02,Organisation des élections,03,Elections des représentants au Parlement européen
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",02,Organisation des élections,04,Elections sénatoriales générales
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",02,Organisation des élections,05,Elections départementales générales
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",02,Organisation des élections,06,Elections municipales générales
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",02,Organisation des élections,07,Référendums
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",02,Organisation des élections,09,Elections régionales générales et assemblée de Corse
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",02,Organisation des élections,10,"Elections partielles (législatives, sénatoriales, départementales, municipales, régionales, territoriales et provinciales)"
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",02,Organisation des élections,11,Elections : dépenses communes
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",02,Organisation des élections,12,Systèmes d'information et de communication
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",02,Organisation des élections,13,Elections territoriales en outre-mer
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",03,Commission nationale des comptes de campagne et des financements politiques,,
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",04,Cultes,01,Immobilier
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",04,Cultes,02,Soutien
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",05,Vie associative,,
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",99,Dépenses de personnel du programme à reventiler,,
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,01,Coordination de la sécurité des personnes et des biens,02,Sécurité nationale
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,01,Coordination de la sécurité des personnes et des biens,03,Règlementation relative à la sécurité
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,02,"Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres",02,Système d'immatriculation des véhicules
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,02,"Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres",04,"Garantie de l'identité et de la nationalité, délivrance de titres"
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,02,"Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres",05,"Elections, vie politique et associations"
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,02,"Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres",06,Réglementation générale (hors sécurité)
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,03,Contrôle de légalité et conseil aux collectivités territoriales,02,Contrôle de légalité et conseils aux collectivités territoriales
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,04,Pilotage territorial des politiques gouvernementales,01,Gestion des programmes européens - PRESAGE
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,04,Pilotage territorial des politiques gouvernementales,04,Animation des politiques interministérielles (hors Union européenne)
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,04,Pilotage territorial des politiques gouvernementales,07,Communication et représentation de l'Etat
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,04,Pilotage territorial des politiques gouvernementales,09,Gestion des programmes européens - Assistance technique
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,05,Animation et soutien du réseau,01,Informatique
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,05,Animation et soutien du réseau,02,Immobilier
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,05,Animation et soutien du réseau,06,Animation du réseau des préfectures et mesures nationales
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,05,Animation et soutien du réseau,07,Fonctionnement courant des préfectures
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,05,Animation et soutien du réseau,08,Formation
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,05,Animation et soutien du réseau,09,Action sociale
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,05,Animation et soutien du réseau,10,Transports
PLF 2019,1,Budget général,AB,Administration générale et territoriale de l'État,307,Administration territoriale,99,Dépenses de personnel du programme à reventiler,,
